arm,best_risk,dataset,episode_id,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,nominal_risk,regime,stage
learned,0.011045896263870722,DFC2018,0000,0,1.336289405822754,2.285843849182129,0.0,0.02465131647962456,soft-dominant-test,65
learned,0.033233788912184536,DFC2018,0000,0,1.3378692865371704,2.283945322036743,0.0,0.048842683201655746,soft-dominant-test,66
fixed,0.2358458675444126,DFC2018,0000,0,1.0181019306182861,2.073268175125122,0.0,0.2493764248987039,soft-dominant-test,0
fixed,0.23031810422738394,DFC2018,0000,0,0.9165555834770203,2.014528274536133,0.0,0.2499807191391786,soft-dominant-test,1
fixed,0.24420752500494322,DFC2018,0000,0,0.8957692384719849,2.018580198287964,0.0,0.24951010818282762,soft-dominant-test,2
fixed,0.09565894833455484,DFC2018,0000,0,0.9975903034210205,2.094494104385376,0.0,0.0991960703395307,soft-dominant-test,3
fixed,0.009705889403882395,DFC2018,0000,0,1.1373058557510376,2.1836838722229004,0.0,0.010680445991217388,soft-dominant-test,4
fixed,0.00013954374898422078,DFC2018,0000,0,1.2738906145095825,2.232898235321045,0.0,0.00011048637816033167,soft-dominant-test,5
fixed,1.6838324068402244e-09,DFC2018,0000,0,1.3444966077804565,2.2466378211975098,0.0,6.703332481687123e-09,soft-dominant-test,6
fixed,2.9210184928259626e-08,DFC2018,0000,0,1.3614059686660767,2.2526817321777344,0.0,3.6423657136704555e-08,soft-dominant-test,7
fixed,0.0,DFC2018,0000,0,1.3729249238967896,2.2562122344970703,0.0,3.6421124303964714e-08,soft-dominant-test,8
fixed,2.0568099723394795e-09,DFC2018,0000,0,1.38546884059906,2.262068510055542,0.0,2.1434328460282852e-08,soft-dominant-test,9
fixed,0.0,DFC2018,0000,0,1.3859329223632812,2.2641215324401855,0.0,1.5913246159016126e-05,soft-dominant-test,10
fixed,0.0,DFC2018,0000,0,1.3836534023284912,2.264704942703247,0.0,0.00020447404724185012,soft-dominant-test,11
fixed,1.2438560920325267e-05,DFC2018,0000,0,1.3818353414535522,2.264317750930786,0.0,0.000695788488277079,soft-dominant-test,12
fixed,4.810372338658747e-05,DFC2018,0000,0,1.3792469501495361,2.2629966735839844,0.0,0.0022739887450976917,soft-dominant-test,13
fixed,0.00023633419332242991,DFC2018,0000,0,1.3774504661560059,2.2620279788970947,0.0,0.005837537115439773,soft-dominant-test,14
fixed,0.0006544034664151729,DFC2018,0000,0,1.376957893371582,2.2616729736328125,0.0,0.012888667561734716,soft-dominant-test,15
fixed,0.001951913531395159,DFC2018,0000,0,1.3768941164016724,2.261600971221924,0.0,0.02222035949428876,soft-dominant-test,16
fixed,0.005154061452306753,DFC2018,0000,0,1.3771737813949585,2.2617015838623047,0.0,0.02961011587952574,soft-dominant-test,17
fixed,0.00882933391538169,DFC2018,0000,0,1.3781323432922363,2.262153387069702,0.0,0.024960569261262815,soft-dominant-test,18
fixed,0.0029213103730872567,DFC2018,0000,0,1.3801723718643188,2.2632486820220947,0.0,0.008720835599281903,soft-dominant-test,19
fixed,8.586940204224902e-05,DFC2018,0000,0,1.381211519241333,2.2638986110687256,0.0,0.00035482376248789177,soft-dominant-test,20
fixed,2.896832538040045e-05,DFC2018,0000,0,1.381590485572815,2.264056444168091,0.0,0.00021699048382591476,soft-dominant-test,21
fixed,1.2142047585266453e-06,DFC2018,0000,0,1.3812401294708252,2.2638332843780518,0.0,5.382220884179538e-06,soft-dominant-test,22
fixed,1.3282084258825488e-08,DFC2018,0000,0,1.3803304433822632,2.2636029720306396,0.0,1.2282272891262862e-06,soft-dominant-test,23
fixed,1.9776260908351922e-05,DFC2018,0000,0,1.3663249015808105,2.2582104206085205,0.0,0.004706037211908172,soft-dominant-test,24
fixed,0.0009192891431556068,DFC2018,0000,0,1.2890069484710693,2.272937297821045,0.0,0.007717006462594138,soft-dominant-test,25
fixed,1.5396215298816667e-05,DFC2018,0000,0,1.3013912439346313,2.269176483154297,0.0,1.5396215298816667e-05,soft-dominant-test,26
fixed,0.0,DFC2018,0000,0,1.3481138944625854,2.2952880859375,0.0,0.0,soft-dominant-test,27
fixed,0.0,DFC2018,0000,0,1.3600585460662842,2.3011534214019775,0.0,0.0,soft-dominant-test,28
fixed,0.0,DFC2018,0000,0,1.361513614654541,2.300267219543457,0.0,0.0,soft-dominant-test,29
fixed,0.0,DFC2018,0000,0,1.359917402267456,2.301321029663086,0.0,0.0,soft-dominant-test,30
fixed,0.0,DFC2018,0000,0,1.3576148748397827,2.3029556274414062,0.0,0.0,soft-dominant-test,31
fixed,0.0,DFC2018,0000,0,1.385146141052246,2.265707492828369,0.0,0.0,soft-dominant-test,32
fixed,0.0,DFC2018,0000,0,1.3851500749588013,2.265706777572632,0.0,0.0,soft-dominant-test,33
fixed,0.0,DFC2018,0000,0,1.385155200958252,2.2657060623168945,0.0,0.0,soft-dominant-test,34
fixed,0.0,DFC2018,0000,0,1.385157585144043,2.2657055854797363,0.0,0.0,soft-dominant-test,35
fixed,0.0,DFC2018,0000,0,1.3851583003997803,2.2657055854797363,0.0,0.0,soft-dominant-test,36
fixed,0.0,DFC2018,0000,0,1.3850042819976807,2.2656326293945312,0.0,4.9840082283481024e-08,soft-dominant-test,37
fixed,0.0,DFC2018,0000,0,1.382641077041626,2.2644760608673096,0.0,5.485690129110783e-06,soft-dominant-test,38
fixed,1.018548232896895e-05,DFC2018,0000,0,1.3829231262207031,2.2647228240966797,0.0,1.018548232896895e-05,soft-dominant-test,39
fixed,2.7900523709203e-07,DFC2018,0000,0,1.382957935333252,2.264760971069336,0.0,2.2106516079626697e-05,soft-dominant-test,40
fixed,2.541667901330887e-07,DFC2018,0000,0,1.381639838218689,2.26399827003479,0.0,6.117592950734737e-07,soft-dominant-test,41
fixed,0.0,DFC2018,0000,0,1.3783729076385498,2.279226303100586,0.0,0.0,soft-dominant-test,42
fixed,0.0,DFC2018,0000,0,1.3714423179626465,2.298311471939087,0.0,0.0,soft-dominant-test,43
fixed,0.0,DFC2018,0000,0,1.3699299097061157,2.304469585418701,0.0,0.0,soft-dominant-test,44
fixed,0.0,DFC2018,0000,0,1.372511863708496,2.2996716499328613,0.0,0.0,soft-dominant-test,45
fixed,0.0,DFC2018,0000,0,1.3729966878890991,2.3000946044921875,0.0,0.0,soft-dominant-test,46
fixed,0.0,DFC2018,0000,0,1.3727188110351562,2.3013033866882324,0.0,0.0,soft-dominant-test,47
fixed,0.0,DFC2018,0000,0,1.3724055290222168,2.302000045776367,0.0,0.0,soft-dominant-test,48
fixed,0.0,DFC2018,0000,0,1.3722591400146484,2.3021881580352783,0.0,0.0,soft-dominant-test,49
fixed,0.0,DFC2018,0000,0,1.3716663122177124,2.302210807800293,0.0,0.0,soft-dominant-test,50
fixed,0.0,DFC2018,0000,0,1.3718976974487305,2.3021299839019775,0.0,0.0,soft-dominant-test,51
fixed,0.0,DFC2018,0000,0,1.3721532821655273,2.302067756652832,0.0,0.0,soft-dominant-test,52
fixed,0.0,DFC2018,0000,0,1.3722796440124512,2.3020431995391846,0.0,0.0,soft-dominant-test,53
fixed,0.0,DFC2018,0000,0,1.3723037242889404,2.302042007446289,0.0,0.0,soft-dominant-test,54
fixed,0.0,DFC2018,0000,0,1.3729963302612305,2.301964282989502,0.0,0.0,soft-dominant-test,55
fixed,0.0,DFC2018,0000,0,1.375364065170288,2.295224189758301,0.0,0.0,soft-dominant-test,56
fixed,0.0,DFC2018,0000,0,1.3736802339553833,2.2982301712036133,0.0,0.0,soft-dominant-test,57
fixed,0.0,DFC2018,0000,0,1.3723231554031372,2.3009605407714844,0.0,5.612774550689537e-10,soft-dominant-test,58
fixed,0.0,DFC2018,0000,0,1.369381070137024,2.3013293743133545,0.0,5.6889487374760704e-05,soft-dominant-test,59
fixed,1.0050253073915863e-05,DFC2018,0000,0,1.3607606887817383,2.2977073192596436,0.0,0.008537379256936836,soft-dominant-test,60
fixed,0.011660910817833306,DFC2018,0000,0,1.351304292678833,2.292262315750122,0.0,0.03390025610375839,soft-dominant-test,61
fixed,0.019153130652242112,DFC2018,0000,0,1.3479650020599365,2.2901625633239746,0.0,0.023044849858706584,soft-dominant-test,62
fixed,0.0005916747624160242,DFC2018,0000,0,1.3426799774169922,2.2872369289398193,0.0,0.0012203569640405476,soft-dominant-test,63
fixed,0.0001021785507332081,DFC2018,0000,0,1.3404322862625122,2.2867400646209717,0.0,0.0024579271012044046,soft-dominant-test,64
fixed,0.011045896263870722,DFC2018,0000,0,1.336289405822754,2.285843849182129,0.0,0.02465131647962456,soft-dominant-test,65
fixed,0.033233788912184536,DFC2018,0000,0,1.3378692865371704,2.283945322036743,0.0,0.048842683201655746,soft-dominant-test,66
