absolute_improvement_error,actual_arc_length_cells,actual_clearance_safe,actual_controller_steps,actual_displacement_col,actual_displacement_row,actual_endpoint_col,actual_endpoint_row,actual_horizon_complete,actual_horizon_final_step,actual_path_min_clearance_m,clearance_agreement,clearance_threshold_m,decision_step,directional_cosine,endpoint_deviation_m,episode_id,event_step,executed_path_mean_risk,hard_contact_disagreement,horizon_crosses_opening,improvement_sign_agreement,mean_cross_track_deviation_m,nominal_primitive_risk,opening_step,phase,predicted_risk_improvement,primitive_horizon_cells,realized_risk_improvement,regime,selected_direction_col,selected_direction_row,selected_endpoint_col,selected_endpoint_row,selected_primitive_risk,selected_ray_min_clearance_m,source_gate_decision
0.11415613961975557,13.041610464748015,1,8,11.077507019042969,-6.819252014160156,71.70352935791016,35.997371673583984,1,49,2.5,1,1.0,42,0.5242270375070092,6.1145586809214985,0,25,0.5822437606529473,0,0,0,2.795473946465387,0.5554275860389074,35,post_opening,0.08733996500571573,12,-0.026816174614039845,R1,-1.8369701465288538e-16,-1.0,60.62602233886719,30.81662368774414,0.4680876210331917,1.4142135381698608,1
0.14075562942496084,13.156465461490027,1,8,10.990882873535156,-7.186920166015625,73.03434753417969,34.98546600341797,1,50,2.692582368850708,1,1.0,43,0.5472799646019678,5.9992758693878105,0,25,0.5451212906685585,0,0,0,2.776104185316298,0.5123092258969942,35,post_opening,0.10794356465339655,12,-0.03281206477156429,R1,-1.8369701465288538e-16,-1.0,62.04346466064453,30.172386169433594,0.4043656612435977,1.5811388492584229,1
0.17135421543120316,13.224355592114206,1,8,10.880931854248047,-7.486690521240234,74.33822631835938,33.970672607421875,1,51,3.640054941177368,1,1.0,44,0.5668398218062612,5.889920213123701,0,25,0.5363020398596821,0,0,0,2.752231597900391,0.49491877605517703,35,post_opening,0.12997095162669814,12,-0.04138326380450502,R1,-1.8369701465288538e-16,-1.0,63.45729446411133,29.45736312866211,0.3649478244284789,2.0,1
0.17708433306045052,13.23219596660829,1,8,10.740287780761719,-7.710868835449219,75.60368347167969,32.964134216308594,1,52,4.031128883361816,1,1.0,45,0.583201442524297,5.782525999948038,0,25,0.5355725823424927,0,0,0,2.723980373806424,0.470756101111571,35,post_opening,0.11226785182952881,12,-0.06481648123092171,R1,-1.8369701465288538e-16,-1.0,64.86339569091797,28.675003051757812,0.3584882492820422,3.0,1
0.20868069869152162,13.168115377657578,1,8,10.562026977539062,-7.852941513061523,76.82029724121094,31.97611427307129,1,53,5.0,1,1.0,46,0.5966600321900198,5.673502180495558,0,25,0.5356148202406511,0,0,0,2.6908153957790804,0.4562893360853195,35,post_opening,0.12935521453619003,12,-0.07932548415533158,R1,-1.8369701465288538e-16,-1.0,66.25827026367188,27.829055786132812,0.3269341215491295,3.5,1
0.23336277747193024,13.022685594512678,1,8,10.340721130371094,-7.908174514770508,77.97966766357422,31.015546798706055,1,54,5.522680282592773,1,1.0,47,0.6074774566913504,5.560430498119655,0,25,0.5368037543598716,0,0,0,2.6516660054524746,0.4695955713589986,35,post_opening,0.16615459447105724,12,-0.067208183000873,R1,-1.8369701465288538e-16,-1.0,67.63894653320312,26.923721313476562,0.30344097688794136,4.5,1
0.25977709894406614,12.794305306506509,1,8,10.071792602539062,-7.88380241394043,79.07477569580078,30.090147018432617,1,55,6.082762718200684,1,1.0,48,0.6163824405320585,5.4402226240302705,0,25,0.5401377355558457,0,0,0,2.604971567789714,0.49830978115399677,35,post_opening,0.21794914454221725,12,-0.04182795440184889,R1,-1.8369701465288538e-16,-1.0,69.00298309326172,25.973949432373047,0.2803606366117795,5.0,1
0.2700618648570707,11.121438323885366,1,7,8.715950012207031,-6.90391731262207,79.07477569580078,30.090147018432617,0,55,7.017834186553955,1,1.0,49,0.6209124694969103,5.048213628895988,0,25,0.5445883206071387,0,0,0,2.2526717185974126,0.5309136658906937,35,post_opening,0.25638721014062565,12,-0.013674654716445023,R1,-1.8369701465288538e-16,-1.0,70.35882568359375,24.994064331054688,0.274526455750068,5.5,1
0.2407264603478565,9.447633011079825,1,6,7.371246337890625,-5.907224655151367,79.07477569580078,30.090147018432617,0,55,7.5,1,1.0,50,0.6253550195360188,4.781662471794233,0,25,0.5478630667729034,0,0,0,1.9021301269531252,0.5323782463868459,35,post_opening,0.22524163996179902,12,-0.015484820386057474,R1,-1.8369701465288538e-16,-1.0,71.70352935791016,23.997371673583984,0.3071366064250469,6.5,1
0.22435851671548113,7.7757986581598075,1,5,6.040428161621094,-4.895318984985352,79.07477569580078,30.090147018432617,0,55,7.905694007873535,1,1.0,51,0.6296214825243662,4.66270481321772,0,25,0.5487754000052951,0,0,0,1.5537427266438806,0.5412768721580505,35,post_opening,0.21685998886823654,12,-0.007498527847244585,R1,-1.8369701465288538e-16,-1.0,73.03434753417969,22.98546600341797,0.324416883289814,7.0,1
